Ocurrències	Occitan	Morfologia oci	Francés	Morfologia fra (si diferent d’oci)	Comentaris 
22	aunor	<n><m>			
22	aujòl	<n><m>			
22	ath torn	<adv>			
22	aiçò	<prn><tn>			
21	ueit	<num><mf>			
21	Segons	<pr>			
21	Sant Gervasi	<np><top>			
21	retraire	<vblex>			
21	rendre# compte	<vblex>			
21	quinze	<adj>			
21	provier	<vblex>			
21	posar	<vblex>			
21	Podar	<vblex>			
21	pescador	<n><m>			
21	Per tot	<adv>			
21	participar# en una manifestacion	<vblex>			
21	onze	<adj>			
21	nèisher	<vblex>			
21	masca	<n><f>			
21	Marchar	<vblex>			
21	L'Alguer	<np><top>			
21	Iuèrn	<n><m>			
21	inici	<n><m>			
21	inadmissible	<adj>			
21	hestivau	<n><m>			
21	Forn	<np><al>			
21	esclatament	<n><m>			
21	coneishença	<n><f>			
21	compartir	<vblex>			
21	Bonet	<n><m>			
21	Bavièra	<np><top>			
21	33%	<num><percent>			
20	Varsòvia	<np><top>			
20	UE	<np><top>			
20	trenta	<adj>			
20	Tour	<np><al>			
20	SS	<n><m>			
20	Socialdemocrata	<adj>			
20	SMS	<n><acr>			
20	sies	<num><mf>			
20	recompte	<n><m>			
20	q	<n><f>			
20	pròplèu	<adj>			
20	producte	<n><m>			
20	onchar	<vblex>			
20	nòm	<n><m>			
20	Mossur	<n><m>			
20	milhòc	<n><m>			
20	Miegjorn	<np><top>			
20	mesestimar	<vblex>			
20	los Alps	<np><top>			
20	k	<n><f>			
20	integrista	<adj>			
20	imprescindible	<adj>			
20	Illas Cook	<np><top>			
20	husta	<n><f>			
20	estupefasent	<adj>			
20	Ensajar# de	<vblex>			
20	CM	<n><m>			
20	cinquanta	<adj>			
20	chorma	<n><f>			
20	AVL	<n><acr>			
20	Astúrias	<np><top>			
20	aqueste an	<adv>			
20	Àneu	<np><top>			
20	Ajaccio	<np><top>			
20	aguest	<det><dem>			
19	vòste	<adj>			
19	Un	<det><ind>			
19	UDC	<n><acr>			
19	taxista	<n><mf>			
19	sonhat	<adj>			
19	sencer	<adj>			
19	salsa	<n><f>			
19	Republica Centreafricana	<np><top>			
19	Reiau	<adj>			
19	puish que	<cnjadv>			
19	Puerto Rico	<np><top>			
19	per a	<pr>			
19	ostal# de la comuna	<n><m>			
19	nom# d'ostal	<n><m>			
19	manar	<vblex>			
19	lesca	<n><f>			
19	Imalaia	<np><top>			
19	financèr	<adj>			
19	emmagazinar	<vblex>			
19	emai	<adv>			
19	Domenge	<np><ant>			
19	directament	<adv>			
19	des de	<pr>			
19	desconnexion	<n><f>			
19	dels estudis	<adj>			
19	dejós de	<pr>			
19	Chomolangma	<np><top>			
19	caviar	<n><m>			
19	Baptista	<adj>			
19	amassa amb	<pr>			
19	al còp	<adv>			
19	Ah	<ij>			
19	36%	<num><percent>			
18	tracte	<n><m>			
18	Tant	<adj>			
18	següent	<adj>			
18	seduire	<vblex>			
18	Sant Laurenç	<np><top>			
18	Sahara	<np><top>			
18	requisit	<n><m>			
18	profiechar	<vblex>			
18	preveir	<vblex>			
18	pela	<n><f>			
18	nerviós	<adj>			
18	nadalet	<n><m>			
18	Mai que mai	<adv>			
18	Llorenç	<np><ant>			
18	laguens de	<pr>			
18	Kabol	<np><top>			
18	junhsèga	<n><m>			
18	guit	<n><m>			
18	Friol-Venècia Júlia	<np><top>			
18	estimar# mai	<vblex>			
18	en ocasion de	<pr>			
18	Èbre	<np><top>			
18	delinquent	<adj>			
18	daissar# anar	<vblex>			
18	corrector	<adj>			
18	compte rendut	<n><m>			
18	Colonha	<np><top>			
18	clòsca	<n><f>			
18	Catar	<vblex>			
18	boha	<n><f>			
18	barricat	<n><f>			
18	Ath delà de	<pr>			
18	arregraïr	<vblex>			
18	arbe	<n><m>			
18	Aitor	<np><ant>			
18	7%	<num><percent>			
18	23%	<num><percent>			
17	voler	<vbmod><pis>			
17	Vertat es	<adv>			
17	*und/*und$				
17	trafegaire	<n><m>			
17	tarcums	<n><m>			
17	Rivera	<np><al>			
17	reportaire	<n><m>			
17	reconeishement	<n><m>			
17	quauqu'un	<prn><tn>			
17	provier# de	<vblex>			
17	prometeire	<adj>			
17	Pirenèu	<np><top>			
17	Per que	<cnjadv>			
17	perilhar	<vblex>			
17	pausar# una question	<vblex>			
17	Olimpia	<np><top>			
17	Okinawa	<np><top>			
17	Ocean Pacific	<np><top>			
17	nosati	<prn><tn>			
17	Mòsso	<n><m>			
17	Minjar	<vblex>			
17	minaire	<adj>			
17	militància	<n><f>			
17	(	<lpar>/(<lpar>$			
17	j	<n><f>			
17	Identitari	<adj>			
17	endret	<n><m>			
17	endralhar	<vblex>			
17	descoratjar	<vblex>			
17	Damian	<np><ant>			
17	Consistòri	<n><m>			
17	conéisser# plan	<vblex>			
17	*co/*co$				
17	CiU	<n><acr>			
17	capitan	<n><m>			
17	brac	<n><m>			
17	baishar	<vblex>			
17	Aussau	<np><top>			
17	arrason	<n><f>			
17	Aquiu	<adv>			
17	aniversari	<n><m>			
17	afrairament	<n><m>			
17	65%	<num><percent>			
16	W	<n><f>			
16	ueu	<n><m>			
16	Tonga	<np><top>			
16	Tòn	<adj>			
16	ténder	<vblex>			
16	Teheran	<np><top>			
16	Taur	<n><m>			
16	Tan	<preadv>			
16	suenhar	<vblex>			
16	se vos plai	<ij>			
16	Serar	<vblex>			
16	Senon	<adv>			
16	sauvament	<n><m>			
16	Santamaría	<np><al>			
16	preténer	<vblex>			
16	Portilhon	<np><top>			
16	Pò	<np><top>			
16	pelejar	<vblex>			
16	pausar# de questions	<vblex>			
16	parapluèja	<n><m>			
16	Nos	<prn><tn>			
16	Montgarri	<np><top>			
16	mès tanben	<cnjcoo>			
16	Maxim	<adj>			
16	mainada	<n><f>			
16	lingüístic	<adj>			
16	La Vanguardia	<np><al>			
16	jo	<prn><tn>			
16	fred	<adj>			
16	far# prene consciéncia	<vblex>			
16	Far# partida	<vblex>			
16	far# evident	<vblex>			
16	Europa Press	<np><al>			
16	esbòs	<n><m>			
16	En luòc de	<pr>			
16	Enguan	<adv>			
16	encara non	<adv>			
16	emprenta	<n><f>			
16	dièta	<n><f>			
16	Dia	<n><m>			
16	Cruesa	<np><top>			
16	conviure	<vblex>			
16	Castelha	<np><top>			
16	Carrèra	<n><f>			
16	cabal	<n><m>			
16	Brasília	<np><top>			
16	Bèth	<det><ind>			
16	a trauèrs de	<pr>			
16	atau coma	<cnjadv>			
16	arremassar	<vblex>			
16	aquiu	<adv>			
16	ambedós	<prn><tn>			
16	ajuntament	<n><m>			
16	9%	<num><percent>			
16	53%	<num><percent>			
16	34%	<num><percent>			
16	32%	<num><percent>			
16	22%	<num><percent>			
16	14%	<num><percent>			
15	Xinjiang	<np><top>			
15	v	<n><f>			
15	vertat es	<adv>			
15	Totòm	<prn><tn>			
15	Torrent	<np><top>			
15	tirada	<n><f>			
15	significat	<n><m>			
15	Reunir	<vblex>			
15	repetidament	<adv>			
15	Quau	<prn><itg>			
15	proesa	<n><f>			
15	possar	<vblex>			
15	pònt	<n><m>			
15	Per ieu	<adv>			
15	Per çò qu'ei de	<pr>			
15	País Basc	<np><top>			
15	Nunavut	<np><top>			
15	nadalenc	<adj>			
15	mèfi	<ij>			
15	Man	<np><top>			
15	libraria	<n><f>			
15	larèr	<n><m>			
15	L'Aia	<np><top>			
15	laguens	<adv>			
15	la fin de l'annada	<adv>			
15	júnher	<vblex>			
15	Jo	<prn><tn>			
15	Inés	<np><ant>			
15	impuls	<n><m>			
15	Hòrt	<adj>			
15	eth sòn	<prn><tn>			
15	estrangèr	<adj>			
15	Estar	<vblex>			
15	entretier	<vblex>			
15	Endavant	<adv>			
15	Diu	<n><m>			
15	dilhèu	<adv>			
15	desaparéisher	<vblex>			
15	de passatge	<adv>			
15	D'ara enlà	<adv>			
15	còsso	<n><m>			
15	conclau	<n><m>			
15	cométer	<vblex>			
15	capluòc	<n><m>			
15	bohar	<vblex>			
15	basa# de donadas	<n><f>			
15	a tres oras	<adv>			
15	Atencion	<ij>			
15	aportacion	<n><f>			
15	Alzheimer	<np><al>			
15	a ieu	<adv>			
15	51%	<num><percent>			
15	19%	<num><percent>			
15	16%	<num><percent>			
14	Trièste	<np><top>			
14	tretze	<adj>			
14	trebalh	<n><m>			
14	tissa	<n><f>			
14	tempèri	<n><m>			
14	telespectator	<n><m>			
14	sud-american	<adj>			
14	Segre	<np><top>			
14	sajar	<vblex>			
14	Revirar	<vblex>			
14	remetre# en causa	<vblex>			
14	prorogar	<vblex>			
14	profieitar	<vblex>			
14	prejudiciar	<vblex>			
14	pessimista	<adj>			
14	perdent	<adj>			
14	Palhars	<np><top>			
14	País Basco	<np><top>			
14	Ocean Indian	<np><top>			
14	Ocean Atlantic	<np><top>			
14	Nòva Delhi	<np><top>			
14	Non solament	<adv>			
14	noiriguièr	<n><m>			
14	nin	<n><m>			
14	mieu	<adj>			
14	mesa# en valor	<n><f>			
14	malfisança	<n><f>			
14	magne	<adj>			
14	Katmandó	<np><top>			
14	Jerusalem	<np><top>			
14	IVA	<n><acr>			
14	istòric	<adj>			
14	idonèu	<adj>			
14	hormatge	<n><m>			
14	Hemna	<n><f>			
14	guerdon	<n><m>			
14	frut	<n><m>			
14	falha	<n><f>			
14	estanc	<adj>			
14	espanholisme	<n><m>			
14	enjós	<adv>			
14	Emirats Arabis Units	<np><top>			
14	Emai	<adv>			
14	desconéisher	<vblex>			
14	dempuèi qualques annadas	<adv>			
14	crotzar	<vblex>			
14	concrèt	<adj>			
14	Calcuta	<np><top>			
14	Cagira	<n><f>			
14	*br/*br$				
14	brau	<n><m>			
14	b	<n><f>			
14	Baqueira	<np><al>			
14	Badalona	<np><top>			
14	Atac	<n><m>			
14	adès	<adv>			
14	aculhiment	<n><m>			
14	abertzale	<adj>			
14	99%	<num><percent>			
14	61%	<num><percent>			
14	52%	<num><percent>			
14	44%	<num><percent>			
14	43%	<num><percent>			
14	13%	<num><percent>			
14	0,2%	<num><percent>			
13	Trípol	<np><top>			
13	teissut	<adj>			
13	Taure	<n><m>			
13	sobiran	<adj>			
13	Sit# web	<n><m>			
13	servicial	<adj>			
13	SÈIR	<vblex>			
13	Roana	<np><top>			
13	respóner	<vblex>			
13	redobertura	<n><f>			
13	profitar	<vblex>			
13	prètzhèt	<n><m>			
13	Pompeu	<np><ant>			
13	policia	<n><mf>			
13	pastisson	<n><m>			
13	pas sovent	<adv>			
13	Orlando	<np><ant>			
13	Mieidia	<n><f>			
13	mès que mès	<adv>			
13	maugrat que	<cnjadv>			
13	Mar Negra	<np><top>			
13	Manar	<vblex>			
13	maitin	<n><m>			
13	includir	<vblex>			
13	imposar	<vblex>			
13	Image	<n><f>			
13	Igualar	<vblex>			
13	guaire	<adv>			
13	Garrigas	<np><top>			
13	faula	<n><f>			
13	excepcionau	<adj>			
13	europenc	<adj>			
13	entad	<pr>			
13	embestiar	<vblex>			
13	eficient	<adj>			
13	Dret	<n><m>			
13	dimèrcles	<n><m>			
13	Dempús de	<pr>			
13	democratizacion	<n><f>			
13	deluns	<n><m>			
13	daurir	<vblex>			
13	consistòri	<n><m>			
13	Comtat	<np><top>			
13	Companhia	<n><f>			
13	cogeneracion	<n><f>			
13	CIEMEN	<n><acr>			
13	CF	<n><acr>			
13	carretèra	<n><f>			
13	BNG	<n><acr>			
13	Betleèm	<np><top>			
13	aver# enveja de	<vblex>			
13	Aubèrt	<np><top>			
13	assessor	<n><m>			
13	aparéisher	<vblex>			
13	a compdar de	<pr>			
13	38%	<num><percent>			
13	24%	<num><percent>			
12	Z	<n><f>			
12	Zelanda	<np><top>			
12	Valença	<n><f>			
12	ueit	<adj>			
12	trabalhaire	<adj>			
12	tier# en compde	<vblex>			
12	tesa	<n><f>			
12	Tel Aviv	<np><top>			
12	tà deuant	<adv>			
12	sosprefècte	<n><m>			
12	Siberia	<np><top>			
12	setmanèr	<adj>			
12	Seteme	<n><m>			
12	remercar	<vblex>			
12	Prumèr	<adj>			
12	Prishtina	<np><top>			
12	PRAG	<n><acr>			
12	potonejar	<vblex>			
12	pericle	<n><m>			
12	papèr	<n><m>			
12	palanca	<n><f>			
12	Music	<n><m>			
12	milèr	<n><m>			
12	Medellín	<np><top>			
12	Meddia	<n><m>			
12	Ligúria	<np><top>			
12	legau	<adj>			
12	Lector	<adj>			
12	L'Avana	<np><top>			
12	l'Aia	<np><top>			
12	junt	<adj>			
12	Inca	<np><top>			
12	hònt	<n><f>			
12	Gèr	<n><m>			
12	Falkland	<np><top>			
12	EUiA	<n><acr>			
12	estona	<n><f>			
12	esténer	<vblex>			
12	enquèra	<adv>			
12	encara un còp	<adv>			
12	emmagazinatge	<n><m>			
12	El Periódico	<np><al>			
12	Dortmund	<np><top>			
12	Díder	<vblex>			
12	Desempuèi	<adv>			
12	descarga	<n><f>			
12	de ieu	<adv>			
12	compde	<n><m>			
12	Carrefour	<np><al>			
12	cap-lòc	<n><m>			
12	bueu	<n><m>			
12	Be	<adv><enon>			
12	aver# de	<vbmod><prs>			
12	ath long de	<pr>			
12	arrés	<prn><tn>			
12	arderós	<adj>			
12	apròp	<adv>			
12	apertenença	<n><f>			
12	Antiterrorista	<adj>			
12	amarum	<n><m>			
12	a la debuta	<adv>			
12	Aiçò	<prn><tn>			
12	ager	<adv>			
12	a doas oras	<adv>			
12	Ací	<adv>			
12	6%	<num><percent>			
12	56%	<num><percent>			
12	42%	<num><percent>			
12	27%	<num><percent>			
11	Vitòria	<np><top>			
11	vesedor	<adj>			
11	veishiga	<n><f>			
11	UV	<n><acr>			
11	unenc	<adj>			
11	totes amassa	<adv>			
11	tanpòc	<adv>			
11	submergir	<vblex>			
11	subitament	<adv>			
11	si que non	<adv>			
11	Seol	<np><top>			
11	salvacion	<n><f>			
11	rencontre	<n><m>			
11	Rambla	<n><f>			
11	qüestion	<n><f>			
11	procés	<n><m>			
11	previsiblament	<adv>			
11	ploja	<n><f>			
11	Pirinèus	<np><top>			
11	peth maitin	<adv>			
11	per part de	<pr>			
11	Pentacosta	<np><al>			
11	Oxfam	<np><al>			
11	Òrta	<n><f>			
11	ordenament	<n><m>			
11	Nimai	<adv>			
11	negar# a	<vblex>			
11	Mont Blanc	<np><top>			
11	mil	<num><m>			
11	mèn	<adj>			
11	massiu	<adj>			
11	marqueting	<n><m>			
11	marinièr	<adj>			
11	mantun	<prn><tn>			
11	Mantun	<det><ind>			
11	manja	<n><f>			
11	mairau	<adj>			
11	Lleida	<np><top>			
11	Le Havre	<np><top>			
11	lard	<n><m>			
11	Kuala Lumpur	<np><top>			
11	jihad	<n><f>			
11	intercomunalitat	<n><f>			
11	integrant	<adj>			
11	inquisitorial	<adj>			
11	innecessari	<adj>			
11	inabilitar	<vblex>			
11	holet	<n><m>			
11	hiu	<n><m>			
11	hèr# part	<vblex>			
11	halha	<n><f>			
11	guerra	<n><f>			
11	guanhar	<vblex>			
11	gratitud	<n><f>			
11	Golf Persic	<np><top>			
11	gitan	<n><f>			
11	gèsta	<n><f>			
11	gens	<adv>			
11	explic	<n><m>			
11	ETH	<det><def>/LE<det><def>$			
11	Estats Units d'America	<np><top>			
11	enviada	<n><f>			
11	engabiar	<vblex>			
11	enduresir	<vblex>			
11	encastrar	<vblex>			
11	embarg	<n><m>			
11	egalizacion	<n><f>			
11	donador	<n><m>			
11	D'òc	<adj>			
11	diu	<n><m>			
11	diuendres	<n><m>			
11	Dins de	<pr>			
11	dignificacion	<n><f>			
11	de vertat	<adv>			
11	despossedir	<vblex>			
11	desbordament	<n><m>			
11	demagogia	<n><f>			
11	dauant	<adv>			
11	Darrèr	<adv>			
11	Corresa	<np><top>			
11	competencial	<adj>			
11	coja	<n><f>			
11	cava	<n><m>			
11	carburar	<vblex>			
11	camparòl	<n><m>			
11	Caça	<n><f>			
11	Bòrd	<adj>			
11	a una ora	<adv>			
11	aumenatge	<n><m>			
11	arròda	<n><f>			
11	arquitectural	<adj>			
11	antisocial	<adj>			
11	An Oriant	<np><top>			
11	annèxe	<adj>			
11	Amont	<adv>			
11	amb ieu	<adv>			
11	aligança	<n><f>			
11	ACTA	<n><f>			
11	A comptar de	<pr>			
11	55%	<num><percent>			
11	47%	<num><percent>			
11	41%	<num><percent>			
11	28%	<num><percent>			
11	26%	<num><percent>			
10	Viaur	<np><top>			
10	Va	<prn><pro>			
10	totparier	<cnjadv>			
10	Terçon	<n><m>			
10	Sur	<pr>			
10	somar	<vblex>			
10	Sociau	<adj>			
10	Sevilha	<np><top>			
10	Sebastià	<np><ant>			
10	sanitat	<n><f>			
10	Reprene	<vblex>			
10	refermar	<vblex>			
10	reclam	<n><m>			
10	rebrembe	<n><m>			
10	qui que siá	<prn><tn>			
10	Pyeongyang	<np><top>			
10	profitar# de	<vblex>			
10	pressupòst	<n><m>			
10	prene# consciéncia	<vblex>			
10	Praga	<np><top>			
10	ponhat	<n><m>			
10	pluralista	<adj>			
10	permanentament	<adv>			
10	perfèit	<adj>			
10	per açò	<adv>			
10	Peninsula Iberica	<np><top>			
10	peirièra	<n><f>			
10	Partisan	<adj>			
10	Palma	<np><top>			
10	Ostalariá	<n><f>			
10	Odèssa	<np><top>			
10	nhacar	<vblex>			
10	molt	<det><ind>			
10	mestieral	<adj>			
10	mesfisança	<n><f>			
10	ment	<n><f>			
10	maselar	<vblex>			
10	mainadèra	<n><f>			
10	madrilenc	<adj>			
10	lord	<adj>			
10	Limar	<vblex>			
10	liam	<n><m>			
10	La Mèca	<np><top>			
10	Kosovo	<np><top>			
10	ingovernable	<adj>			
10	individuau	<adj>			
10	impartir	<vblex>			
10	huelha	<n><f>			
10	Hestivau	<n><m>			
10	hèira	<n><f>			
10	Grèmi	<n><m>			
10	grad	<n><m>			
10	gràcies	<ij>			
10	Garriga	<np><top>			
10	frair	<n><m>			
10	eth mèn	<det><pos>			
10	etèrne	<adj>			
10	èsser# malaut	<vbser>			
10	espaciau	<adj>			
10	en	<pr>/en<pr>$			
10	Egèa	<np><top>			
10	Dubayy	<np><top>			
10	desvariar	<vblex>			
10	Dempús	<adv>			
10	coralh	<adj>			
10	coordinator	<n><m>			
10	Conservator	<adj>			
10	comerciau	<adj>			
10	coloniau	<adj>			
10	CLO	<n><acr>			
10	chivau	<n><m>			
10	Ce	<detnt>			
10	carnsalada	<n><f>			
10	caplòc	<n><m>			
10	Béal Feirste	<np><top>			
10	arrua	<n><f>			
10	arreconeishença	<n><f>			
10	Aquerò	<prn><tn>			
10	anuèch	<adv>			
10	Antifaissista	<adj>			
10	America Centrala	<np><top>			
10	amassa damb	<pr>			
10	Al mitan	<adv>			
10	al dedins	<adv>			
10	a cinc oras	<adv>			
10	62%	<num><percent>			
10	54%	<num><percent>			
10	46%	<num><percent>			
10	39%	<num><percent>			
10	37%	<num><percent>			
10	31%	<num><percent>			
10	29%	<num><percent>			
10	1,2%	<num><percent>			
10	11%	<num><percent>			
9	w	<n><f>			
9	vaishèth	<n><m>			
9	Uèi lo jorn	<adv>			
9	turqués	<adj>			
9	Tristan da Cunha	<np><top>			
9	tributari	<adj>			
9	tramitacion	<n><f>			
9	Traduire	<vblex>			
9	suspréner	<vblex>			
9	Simó	<np><ant>			
9	simbèu	<n><m>			
9	Sava	<np><top>			
9	Salsa	<n><f>			
9	Salazar	<np><al>			
9	sajar# de	<vblex>			
9	sabença	<n><f>			
9	Riyad	<np><top>			
9	Reunion	<np><top>			
9	restant	<adj>			
9	rebalar	<vblex>			
9	Q	<n><f>			
9	Provençau	<adj>			
9	presoèr	<n><m>			
9	Près de	<pr>			
9	pregunta	<n><f>			
9	postièr	<n><m>			
9	ponéncia	<n><f>			
9	Plurinacional	<adj>			
9	pèrta	<n><f>			
9	penent	<n><m>			
9	pdf	<n><acr>			
9	Pas mai	<adv>			
9	numèro# de compte	<n><m>			
9	Mòure	<vblex>			
9	mòta	<n><f>			
9	méter# en plaça	<vblex>			
9	mestressa	<n><f>			
9	Logronh	<np><top>			
9	liéger	<vblex>			
9	Lapònia	<np><top>			
9	Karlos	<np><ant>			
9	intercultural	<adj>			
9	inconvenient	<adj>			
9	Hòms	<np><top>			
9	hitge	<n><m>			
9	hialat	<n><m>			
9	Guipuscoa	<np><top>			
9	Fred	<adj>			
9	frauda	<n><f>			
9	fonamentau	<adj>			
9	far# atencion	<vblex>			
9	EU	<n><acr>			
9	etiquetatge	<n><m>			
9	eth quau	<rel>			
9	Èsser# davant	<vbser>			
9	Es Bòrdes	<np><top>			
9	empach	<n><m>			
9	EFE	<np><al>			
9	Dubai	<np><top>			
9	doncas que	<cnjadv>			
9	Dolors	<np><ant>			
9	documentau	<n><m>			
9	distribuïr	<vblex>			
9	devarar	<vblex>			
9	desliurança	<n><f>			
9	descubèrta	<n><f>			
9	de qualque biais	<adv>			
9	Dempuèi qualques annadas	<adv>			
9	d'aquí a	<pr>			
9	dangèr	<n><m>			
9	correspóner	<vblex>			
9	corau	<adj>			
9	contravier	<vblex>			
9	consum	<n><m>			
9	congressiste	<n><f>			
9	comèrç	<n><m>			
9	catalogacion	<n><f>			
9	burqa	<n><f>			
9	Brave	<adj>			
9	bordalat	<n><m>			
9	Blu	<adj>			
9	Berta	<np><ant>			
9	Aute	<adj>			
9	Atge	<n><f>			
9	antimilitarista	<adj>			
9	anticorrupcion	<n><f>			
9	alenar	<vblex>			
9	a la carga de	<pr>			
9	Agençar	<vblex>			
9	acostumar# de	<vblex>			
9	abstier	<vblex>			
9	absténer	<vblex>			
9	abondar	<vblex>			
9	66%	<num><percent>			
9	64%	<num><percent>			
9	0,3%	<num><percent>			
8	XX	<adj>			
8	voler	<vbmod><ger>			
8	Vilac	<np><top>			
8	Urgèl	<np><top>			
8	Turquestan	<np><top>			
8	turbulent	<adj>			
8	tot lo monde	<prn><tn>			
8	titularitat	<n><f>			
8	tiera	<n><f>			
8	suspéner	<vblex>			
8	secrèt	<adj>			
8	Sauvar	<vblex>			
8	Sahèl	<np><top>			
8	retrograd	<adj>			
8	repertoriar	<vblex>			
8	regal	<n><m>			
8	reconoissença	<n><f>			
8	recobrament	<n><m>			
8	reau	<adj>			
8	Pujòlo	<np><top>			
8	Pres	<adj>			
8	permís	<n><m>			
8	percéber	<vblex>			
8	pel tresen còp	<adv>			
8	PDF	<n><acr>			
8	palhassa	<n><f>			
8	OS	<n><m>			
8	os	<n><m>			
8	Oran	<np><top>			
8	ondejar	<vblex>			
8	Ocean Artic	<np><top>			
8	num.	<n><m>			
8	Nòste	<adj>			
8	nhèu	<n><f>			
8	nevada	<n><f>			
8	Natàlia	<np><ant>			
8	món	<n><m>			
8	Mon	<n><m>			
8	molt	<adv>			
8	Méter	<vblex>			
8	Matt	<np><ant>			
8	martiri	<n><m>			
8	Mar de China Meridionala	<np><top>			
8	malautia	<n><f>			
8	LSD	<n><acr>			
8	litorau	<adj>			
8	leugèr	<adj>			
8	*LEFT/*LEFT$				
8	leçon	<n><f>			
8	Lai	<prn><pro>			
8	Johannesburg	<np><top>			
8	ja non	<adv>			
8	inexplicable	<adj>			
8	increment	<n><m>			
8	icebèrg	<n><m>			
8	Hons	<n><m>			
8	Hangzhou	<np><top>			
8	Gotland	<np><top>			
8	Frair	<n><m>			
8	Fossat	<n><m>			
8	Fidel	<np><ant>			
8	felibritge	<n><m>			
8	farfadet	<n><m>			
8	far# allusion	<vblex>			
8	eth	<det><def>/le<det><def>$			
8	estament	<n><m>			
8	Escunhau	<np><top>			
8	Escríuer	<vblex>			
8	en via de	<pr>			
8	emprene	<vblex>			
8	emissor	<n><m>			
8	Elx	<np><top>			
8	Dr	<n><m>			
8	distraire	<vblex>			
8	dispersat	<adj>			
8	dictadura	<n><f>			
8	Dever	<vbmod><pii>			
8	destapar	<vblex>			
8	deseme	<n><m>			
8	cu	<n><m>			
8	CRAC	<n><m>			
8	comunau	<adj>			
8	clauar	<vblex>			
8	Ciutat del Cap	<np><top>			
8	Chorma	<n><f>			
8	Cèrca	<n><f>			
8	CCOO	<n><acr>			
8	Catalonha del Nòrd	<np><top>			
8	Castièro	<np><top>			
8	Castèu	<n><m>			
8	Casamança	<np><top>			
8	cama	<n><f>			
8	camada	<n><f>			
8	Caerdydd	<np><top>			
8	brutlar	<vblex>			
8	bric	<adv>			
8	Biscaia	<np><top>			
8	Bengazi	<np><top>			
8	Baish	<adj>			
8	Bagergue	<np><top>			
8	a uèch oras	<adv>			
8	a sièis oras	<adv>			
8	Arrua	<n><f>			
8	arrespóner	<vblex>			
8	anís	<n><m>			
8	A l'ostal	<adv>			
8	a jo	<adv>			
8	Adiu	<ij>			
8	95%	<num><percent>			
8	59%	<num><percent>			
8	49%	<num><percent>			
8	2,5%	<num><percent>			
8	2018	<num>/2018<num>$			
8	17%	<num><percent>			
7	Zaire	<np><top>			
7	vrespe	<n><m>			
7	vòta	<n><f>			
7	Vòste	<adj>			
7	visitant	<n><m>			
7	verbau	<adj>			
7	utís	<n><m>			
7	Us	<n><m>			
7	usança	<n><f>			
7	uas	<n><m>			
7	tumar	<vblex>			
7	tuc	<n><m>			
7	Tubruq	<np><top>			
7	Tributari	<adj>			
7	tramontana	<n><f>			
7	Tessalonica	<np><top>			
7	téner# compte de	<vblex>			
7	taus# d'interès	<n><m>			
7	taur	<n><m>			
7	tast	<n><m>			
7	Sunyer	<np><ant>			
7	Sociolingüistic	<adj>			
7	Sinai	<np><top>			
7	Seu	<n><f>			
7	setze	<adj>			
7	se non	<adv>			
7	satisfèt	<adj>			
7	San Salvador	<np><top>			
7	Salut	<n><f>			
7	Salonica	<np><top>			
7	Ribesaltes	<np><top>			
7	ressortir	<vblex>			
7	remembrança	<n><f>			
7	referencial	<adj>			
7	redessenhar	<vblex>			
7	reclassament	<n><m>			
7	Punt	<n><m>			
7	Prudenci	<np><ant>			
7	procèssus	<n><m>			
7	presa# de decisions	<n><f>			
7	premanir	<vblex>			
7	predominar	<vblex>			
7	Portbou	<np><top>			
7	Polha	<np><top>			
7	Pinha	<n><f>			
7	Perth	<np><top>			
7	Pelhon	<n><m>			
7	participaire	<n><m>			
7	Papoasia	<np><top>			
7	Palèrme	<np><top>			
7	Pakistan	<np><top>			
7	otratjar	<vblex>			
7	Òscar	<np><ant>			
7	orgulh	<n><m>			
7	ocultar	<vblex>			
7	ocean Pacific	<np><top>			
7	ocean Indian	<np><top>			
7	Obrador	<n><m>			
7	nom# de familha	<n><m>			
7	Neptun	<np><ant>			
7	navigaire	<adj>			
7	Nau	<adj>			
7	multilingüe	<adj>			
7	Monge	<np><al>			
7	milhor	<adj>			
7	mèrca	<n><f>			
7	mensual	<adj>			
7	matricula	<n><f>			
7	Mato Grosso	<np><top>			
7	Marisol	<np><ant>			
7	Mare	<n><f>			
7	manuau	<adj>			
7	Lourdes	<np><top>			
7	Liam	<n><m>			
7	lèd	<adj>			
7	Lairissa	<np><top>			
7	Kurdistan	<np><top>			
7	joiós	<adj>			
7	innovator	<adj>			
7	incomplir	<vblex>			
7	immateriau	<adj>			
7	illegau	<adj>			
7	Ilerdenc	<adj>			
7	Gripet	<n><m>			
7	Granja	<n><f>			
7	gran causa	<n><f>			
7	far# en sòrta	<vblex>			
7	far# concurréncia	<vblex>			
7	Eufrates	<np><top>			
7	estret	<adj>			
7	estancada	<n><f>			
7	escuélher	<vblex>			
7	ensem	<n><m>			
7	enfonzament	<n><m>			
7	endurir	<vblex>			
7	en cò vòstre	<adv>			
7	ei a díder	<adv>			
7	Egalament	<adv>			
7	ecosocialista	<adj>			
7	Ecomusèu	<n><m>			
7	eclipsar	<vblex>			
7	eca.	<adv>			
7	dire	<n><m>			
7	Dhaka	<np><top>			
7	Devath	<adv>			
7	Detenir	<vblex>			
7	dessus	<adv>			
7	desrocar	<vblex>			
7	dèisha	<n><f>			
7	decènni	<n><m>			
7	davarar	<vblex>			
7	Dani	<np><ant>			
